COUNTY,Max_Voltage
Alameda ,9255.0
Alpine ,0.0
Amador ,2050.0
Butte ,4140.0
Calaveras ,1680.0
Colusa ,1810.0
Contra Costa ,12216.0
Del Norte ,1081.0
El Dorado ,1845.0
Fresno ,11591.0
Glenn ,1120.0
Humboldt ,2450.0
Imperial ,8044.0
Inyo ,630.0
Kern ,25358.0
Kings ,2677.0
Lake ,2425.0
Lassen ,2076.0
Los Angeles ,33864.0
Madera ,2745.0
Marin ,1060.0
Mariposa ,525.0
Mendocino ,1120.0
Merced ,4628.0
Modoc ,2323.0
Mono ,1430.0
Monterey ,4165.0
Napa ,925.0
Nevada ,820.0
Orange ,11503.0
Placer ,3345.0
Plumas ,2005.0
Riverside ,16739.0
Sacramento ,22910.0
San Benito ,470.0
San Bernardino ,18820.0
San Diego ,14272.0
San Francisco ,1005.0
San Joaquin ,8805.0
San Luis Obispo ,2915.0
San Mateo ,4730.0
Santa Barbara ,3382.0
Santa Clara ,9410.0
Santa Cruz ,1780.0
Shasta ,10369.0
Sierra ,765.0
Siskiyou ,4163.0
Solano ,6860.0
Sonoma ,8280.0
Stanislaus ,7175.0
Sutter ,1695.0
Tehama ,960.0
Trinity ,1565.0
Tulare ,4054.0
Tuolumne ,2162.0
Ventura ,2970.0
Yolo ,1975.0
Yuba ,1605.0
