Counties,AcresBurned
Alameda,6387.0
Alpine,0.0
Amador,6285.0
Butte,190702.0
Calaveras,2648.0
Colusa,459316.0
Contra Costa,6884.0
Del Norte,38407.0
El Dorado,114411.0
Fresno,214411.0
Glenn,413201.0
Humboldt,22925.0
Inyo,31884.0
Kern,119464.0
Kings,54377.0
Lake,582784.0
Lassen,151797.0
Los Angeles,194580.0
Madera,44505.0
Marin,349.0
Mariposa,217852.0
Mendocino,512712.0
Merced,13641.0
Modoc,179192.0
Mono,35885.0
Monterey,156566.0
Napa,268948.0
Nevada,4201.0
Orange,36764.0
Placer,37328.0
Plumas,63817.0
Riverside,97362.0
Sacramento,1985.0
San Benito,4354.0
San Bernardino,90897.0
San Diego,65394.0
San Joaquin,13351.0
San Luis Obispo,98757.0
San Mateo,153.0
Santa Barbara,362568.0
Santa Clara,7544.0
Santa Cruz,428.0
Shasta,448527.0
Sierra,915.0
Siskiyou,367914.0
Solano,61067.0
Sonoma,197687.0
Stanislaus,11283.0
Sutter,2850.0
Tehama,51975.0
Trinity,481048.0
Tulare,94255.0
Tuolumne,299132.0
Ventura,428304.0
Yolo,108681.0
Yuba,11910.0
Imperial,0.0
San Francisco,0.0
